TF	target	importance
SOX4	KIRREL1	3.273483404168695
FOXA1	LINC01226	3.2584546461149646
HNF1B	CCDC30	3.2483198466834784
HNF1B	CLCA4-AS1	3.2345494774256736
PBX1	KIRREL1	3.228053486009616
HNF1B	FHAD1	3.22431576678205
MAFK	ARHGAP29-AS1	3.2223788390887425
FOXJ3	GBP1	3.2109134298461544
PPARG	MUC1	3.2079753489555545
NFE2L2	GBP1	3.204690336950082
TCF7L2	YAP1	3.2044052342735627
TCF7L2	RUNX3	3.2018297743734787
PBX1	SGIP1	3.2010183960902485
PPARG	IGSF21	3.1935742463503627
PPARG	AL513323.1	3.1920393803522233
TP53	SELL	3.1913075988732476
PPARG	AL034417.2	3.186803474179662
PRDM16	LRRIQ3	3.18551408741138
TCF7L2	MAB21L3	3.183893547209245
TEAD1	HSPG2	3.1814447681185736
RUNX3	CD247	3.1750984135814275
STAT3	PRAMEF10	3.1736764606607757
SOX4	CTNNB1	3.1689322682350882
TBX15	AL138799.4	3.144699582134864
PBX1	SLC9C2	3.1415580739784463
PBX1	LRRIQ3	3.1395535839995112
MAFK	AGBL4	3.1355810295304676
PBX1	FHAD1	3.1350485454012
PRKAA2	MAFG	3.1307213680243335
RUNX3	GATA4	3.1088770155310415
RXRA	PER3	3.098663589688024
PBX1	ROR1	3.0986429286084816
ATF3	JUN	3.093631128596656
HNF1B	PKN2-AS1	3.0921263925961022
STAT3	AC099792.1	3.0873123598348973
PBX1	MROH9	3.0861204982098434
CEBPB	TGFBR3	3.085149630755595
HNF1B	PBX1	3.0811482479350256
STAT3	PRAMEF33	3.074295245002741
MAFK	SLAMF7	3.073538750471636
RXRB	SPTA1	3.059291007816521
PPARG	RASAL2	3.052759995818214
ATF5	MCL1	3.052078379880122
SOX4	AC099792.1	3.043139584496328
SOX4	ATP1A1-AS1	3.0406152906140322
CREB1	KAZN	3.0304780955026485
SP3	FOXA1	3.028869415874337
GADD45A	AL033530.1	3.026697893099814
MAFK	TEAD4	3.026152951779812
STAT3	KIAA0040	3.0235182830109704
TP53	TBX15	3.0096666144381845
PBX1	CCDC30	3.003942083991662
HNF1B	FMO5	2.990435749778039
MYC	ARHGAP29-AS1	2.980694182560012
NR5A2	LINC01362	2.9797827581085072
TCF7L2	FOXJ3	2.972789970483624
CREB1	E2F3	2.9718757734648245
HNF1B	SCP2	2.9673790021188013
KLF6	ZRANB2-AS2	2.961330840506034
JUN	LINC01767	2.9583035927026513
GATA6	SPAG17	2.9483348506503493
PPARG	PYHIN1	2.9335122682409702
TCF7L2	AL513323.1	2.9317700111831986
CEBPB	TEAD4	2.9263842167038705
RXRA	C1orf112	2.9193660703588873
FOXJ3	PRAMEF10	2.914302381150609
SOX4	STAT3	2.9138112353547587
PRDM16	MAFG	2.9126327305188875
SOX4	ARHGAP29-AS1	2.9087434997995913
MLXIPL	HSPA6	2.9018998029645617
PPARG	TGFBR3	2.8931241921935915
JUN	GBP2	2.8912983001966883
MAFG	AL450992.1	2.888127633590723
KLF6	SLC9C2	2.8827739282007427
TCF7L2	LINC02798	2.8724623929185493
CEBPA	LINC01362	2.865829398539378
NR1H4	FMO3	2.8658279470854326
RXRB	PRAMEF10	2.8641784693522836
SOX4	FMO5	2.8618257905595352
RXRB	MAB21L3	2.859291501848612
ATF5	TXNIP	2.858146735543706
CEBPB	ST6GALNAC3	2.8565201761946106
ATF5	YAP1	2.8499212632467508
CEBPA	AL450992.1	2.8460875397655827
STAT3	AC099788.1	2.839215876496111
SMAD2	DNAJC6	2.8382968803770474
HNF1B	GNG12-AS1	2.837324845091335
FOXA3	AC096536.3	2.8369913988421627
CTNNB1	IFI44L	2.8314052894512436
JUN	GBP1	2.828689866310833
ATF2	AL136234.1	2.826108308331374
PPARA	AL033530.1	2.823134399423662
PBX1	LINC01781	2.822677062217745
KLF6	MCL1	2.814757963175033
SP1	MAFK	2.814528210022361
PPARG	AC104170.1	2.8121867280526676
GATA4	IGSF21	2.809164360246454
PBX1	HNF1B	2.8019224335398407
STAT3	S100A6	2.798733752582602
ATF5	APOA2	2.7823702449308527
ATF5	EFNA1	2.7764059685586893
ATF5	AC099788.1	2.769946949697422
PBX1	LRRC7	2.767738656327327
CTNNB1	MYOCOS	2.763358749498212
MLXIPL	RXRA	2.7596858277578344
MAFG	PRAMEF10	2.754198514430479
SMAD3	TBX15	2.743731602195561
TBX15	MROH9	2.7373380763669415
